MessageText	JudgedDomain	JudgedConstraints	JudgedIntent
file to john has attachment	FILES	 file  to <contact_name_to> john </contact_name_to> has <attachment> attachment </attachment>	search_email
give me files with tsv attachments	FILES	give me  files  with <attachment_type> tsv </attachment_type> <attachment> attachments </attachment>	search_email
files with an attachment from last week	FILES	 files  with an <attachment> attachment </attachment> from <start_date> last week </start_date>	search_email
look for file with decks attachments	FILES	look for  file  with <attachment_type> decks </attachment_type> <attachment> attachments </attachment>	search_email
find my file with attachment	FILES	find my  file  with <attachment> attachment </attachment>	search_email
files with slides attachments	FILES	 files  with <attachment_type> slides </attachment_type> <attachment> attachments </attachment>	search_email
onenote attachment girls trip	FILES	<attachment_type> onenote </attachment_type> <attachment> attachment </attachment> <keyword> girls trip </keyword>	search_email
file about concert tickets with attachment sent in december 2019	FILES	 file  about <keyword> concert tickets </keyword> with <attachment> attachment </attachment> sent in <start_date> december 2019 </start_date>	search_email
file containing music attachments	FILES	 file  containing <keyword> music </keyword> <attachment> attachments </attachment>	search_email
file from greg to ellen with attachment about tigers	FILES	 file  from <contact_name_from> greg </contact_name_from> to <contact_name_to> ellen </contact_name_to> with <attachment> attachment </attachment> about <keyword> tigers </keyword>	search_email
from bates to anna with attachment	FILES	from <contact_name_from> bates </contact_name_from> to <contact_name_to> anna </contact_name_to> with <attachment> attachment </attachment>	search_email
vssx hasattachmentstrue	FILES	<attachment_type> vssx </attachment_type> hasattachmentstrue	search_email
file stan sent me with some attachments	FILES	 file  <contact_name_from> stan </contact_name_from> sent me with some <attachment> attachments </attachment>	search_email
files from malik with attachments last week	FILES	 files  from <contact_name_from> malik </contact_name_from> with <attachment> attachments </attachment> <start_date> last week </start_date>	search_email
file from july with doc attachments	FILES	 file  from <start_date> july </start_date> with <attachment_type> doc </attachment_type> <attachment> attachments </attachment>	search_email
file with attachment about rb singers	FILES	 file  with <attachment> attachment </attachment> about <keyword> rampb singers </keyword>	search_email
file with attachment from jayson to anthon	FILES	 file  with <attachment> attachment </attachment> from <contact_name_from> jayson </contact_name_from> to <contact_name_to> anthon </contact_name_to>	search_email
search for any files from last week that had attachments	FILES	search for any  files  from <start_date> last week </start_date> that had <attachment> attachments </attachment>	search_email
new work schedule attachments from may to june	FILES	<keyword> new work schedule </keyword> <attachment> attachments </attachment> from <start_date> may </start_date> to <end_date> june </end_date>	search_email
show me my file that have dog food attachments linked	FILES	show me my  file  that have <keyword> dog food </keyword> <attachment> attachments </attachment> linked	search_email
file from jim boyle with presentations attachments	FILES	 file  from <contact_name_from> jim boyle </contact_name_from> with <attachment_type> presentations </attachment_type> <attachment> attachments </attachment>	search_email
view file with vst attachments	FILES	view  file  with <attachment_type> vst </attachment_type> <attachment> attachments </attachment>	search_email
files about dogs on march 5th and 6th with an attachment	FILES	 files  about <keyword> dogs </keyword> on <start_date> march 5th </start_date> and <end_date> 6th </end_date> with an <attachment> attachment </attachment>	search_email
bring up file with tsv attachments	FILES	bring up  file  with <attachment_type> tsv </attachment_type> <attachment> attachments </attachment>	search_email
tim with sheet attachments	FILES	<contact_name> tim </contact_name> with <attachment_type> sheet </attachment_type> <attachment> attachments </attachment>	search_email
file from jayson with attachments about pop music	FILES	 file  from <contact_name_from> jayson </contact_name_from> with <attachment> attachments </attachment> about <keyword> pop music </keyword>	search_email
calendar attachment	FILES	<keyword> calendar </keyword> <attachment> attachment </attachment>	search_email
spec attachments sent to jim	FILES	<attachment_type> spec </attachment_type> <attachment> attachments </attachment> sent to <contact_name_to> jim </contact_name_to>	search_email
file from joe with sheets attachment	FILES	 file  from <contact_name_from> joe </contact_name_from> with <attachment_type> sheets </attachment_type> <attachment> attachment </attachment>	search_email
files sent to john with spreadsheet attachment	FILES	 files  sent to <contact_name_to> john </contact_name_to> with <attachment_type> spreadsheet </attachment_type> <attachment> attachment </attachment>	search_email
play files from allison with power point attachment	FILES	play  files  from <contact_name_from> allison </contact_name_from> with <attachment_type> power point </attachment_type> <attachment> attachment </attachment>	search_email
june email with attachment	FILES	<start_date> june </start_date> <keyword> email </keyword> with <attachment> attachment </attachment>	search_email
file with attachment from last year	FILES	 file  with <attachment> attachment </attachment> from <start_date> last year </start_date>	search_email
files with pdfs attachment from jack	FILES	 files  with <attachment_type> pdfs </attachment_type> <attachment> attachment </attachment> from <contact_name_from> jack </contact_name_from>	search_email
give me file with vst attachments	FILES	give me  file  with <attachment_type> vst </attachment_type> <attachment> attachments </attachment>	search_email
february files attachments	FILES	<start_date> february </start_date>  files  <attachment> attachments </attachment>	search_email
attachments from january to febuary file	FILES	<attachment> attachments </attachment> from <start_date> january </start_date> to <end_date> febuary </end_date>  file 	search_email
file from danny to keith with attachment	FILES	 file  from <contact_name_from> danny </contact_name_from> to <contact_name_to> keith </contact_name_to> with <attachment> attachment </attachment>	search_email
greg presentations attachment files	FILES	<contact_name> greg </contact_name> <attachment_type> presentations </attachment_type> <attachment> attachment </attachment>  files 	search_email
files correspondence with attachment	FILES	 files  correspondence with <attachment> attachment </attachment>	search_email
attachment files from goku doc	FILES	<attachment> attachment </attachment>  files  from <contact_name_from> goku </contact_name_from> <attachment_type> doc </attachment_type>	search_email
file to jake with attachment	FILES	 file  to <contact_name_to> jake </contact_name_to> with <attachment> attachment </attachment>	search_email
look up file with employee review attachments	FILES	look up  file  with <keyword> employee review </keyword> <attachment> attachments </attachment>	search_email
rosas file from january with attachments	FILES	<contact_name> rosa </contact_name> s  file  from <start_date> january </start_date> with <attachment> attachments </attachment>	search_email
attachments that are with an file	FILES	<attachment> attachments </attachment> that are with an  file 	search_email
file with attachment received between august 3 and august 14	FILES	 file  with <attachment> attachment </attachment> received between <start_date> august 3 </start_date> and <end_date> august 14 </end_date>	search_email
show last weeks attachments	FILES	show <start_date> last week </start_date> s <attachment> attachments </attachment>	search_email
give me all attachment files	FILES	give me all <attachment> attachment </attachment>  files 	search_email
ppt attachment in files	FILES	<attachment_type> ppt </attachment_type> <attachment> attachment </attachment> in  files 	search_email
files received from december 1st to 10th with attachments	FILES	 files  received from <start_date> december 1st </start_date> to <end_date> 10th </end_date> with <attachment> attachments </attachment>	search_email
file that has an attachment and is from gale	FILES	 file  that has an <attachment> attachment </attachment> and is from <contact_name_from> gale </contact_name_from>	search_email
jacob file with attachment	FILES	<contact_name> jacob </contact_name>  file  with <attachment> attachment </attachment>	search_email
files from glenn to cherie with attachment from last month	FILES	 files  from <contact_name_from> glenn </contact_name_from> to <contact_name_to> cherie </contact_name_to> with <attachment> attachment </attachment> from <start_date> last month </start_date>	search_email
email from supervisor with attachment	FILES	<message_type> from <relationship_name_from> supervisor </relationship_name_from> with <attachment> attachment </attachment>	search_email
greg worksheet attachment file	FILES	<contact_name> greg </contact_name> <attachment_type> worksheet </attachment_type> <attachment> attachment </attachment>  file 	search_email
file from tim with attachment	FILES	 file  from <contact_name_from> tim </contact_name_from> with <attachment> attachment </attachment>	search_email
graduation file with attachment	FILES	<keyword> graduation </keyword>  file  with <attachment> attachment </attachment>	search_email
work order files with attachments from may	FILES	<keyword> work order </keyword>  files  with <attachment> attachments </attachment> from <start_date> may </start_date>	search_email
show me files from jordan with onenote attachments	FILES	show me  files  from <contact_name_from> jordan </contact_name_from> with <attachment_type> onenote </attachment_type> attachments	search_email
xlsx attachment to jason	FILES	<attachment_type> xlsx </attachment_type> <attachment> attachment </attachment> to <contact_name_to> jason </contact_name_to>	search_email
help me find file from pat with attachment	FILES	help me find  file  from <contact_name_from> pat </contact_name_from> with <attachment> attachment </attachment>	search_email
onenote attachment to jack	FILES	<attachment_type> onenote </attachment_type> <attachment> attachment </attachment> to <contact_name_to> jack </contact_name_to>	search_email
play file from allison with spreadsheet attachment	FILES	play  file  from <contact_name_from> allison </contact_name_from> with <attachment_type> spreadsheet </attachment_type> <attachment> attachment </attachment>	search_email
from yeyi with attachment	FILES	from <contact_name_from> yeyi </contact_name_from> with <attachment> attachment </attachment>	search_email
all file from hue with attachments please	FILES	all  file  from <contact_name_from> hue </contact_name_from> with <attachment> attachments </attachment> please	search_email
files from amy with attachments	FILES	 files  from <contact_name_from> amy </contact_name_from> with <attachment> attachments </attachment>	search_email
view files with doc attachments sent to amanda	FILES	view  files  with <attachment_type> doc </attachment_type> <attachment> attachments </attachment> sent to <contact_name_to> amanda </contact_name_to>	search_email
search for audit forms in my files attachments	FILES	search for <keyword> audit forms </keyword> in my  files  <attachment> attachments </attachment>	search_email
files from boss with attachment	FILES	 files  from <relationship_name_from> boss </relationship_name_from> with <attachment> attachment </attachment>	search_email
files from dapriy with attachments	FILES	 files  from <contact_name_from> dapriy </contact_name_from> with <attachment> attachments </attachment>	search_email
file received with attachments from january 7th through january 26th	FILES	 file  received with <attachment> attachments </attachment> from <start_date> january 7th </start_date> through <end_date> january 26th </end_date>	search_email
file from greg to vanessa about teaching with attachment	FILES	 file  from <contact_name_from> greg </contact_name_from> to <contact_name_to> vanessa </contact_name_to> about <keyword> teaching </keyword> with <attachment> attachment </attachment>	search_email
look at attachments in file	FILES	look at <attachment> attachments </attachment> in  file 	search_email
files from emma with attachments	FILES	 files  from <contact_name_from> emma </contact_name_from> with <attachment> attachments </attachment>	search_email
file with attachment about biology	FILES	 file  with <attachment> attachment </attachment> about <keyword> biology </keyword>	search_email
find vivs files with pdfs attachment	FILES	find <contact_name> viv </contact_name> s  files  with <attachment_type> pdfs </attachment_type> <attachment> attachment </attachment>	search_email
files from terry to mia with attachment	FILES	 files  from <contact_name_from> terry </contact_name_from> to <contact_name_to> mia </contact_name_to> with <attachment> attachment </attachment>	search_email
locate file with attachments between december 3rd and december 12th	FILES	locate  file  with <attachment> attachments </attachment> between <start_date> december 3rd </start_date> and <end_date> december 12th </end_date>	search_email
tennis files with attachment	FILES	<keyword> tennis </keyword>  files  with <attachment> attachment </attachment>	search_email
josh file from last night with some attachment	FILES	<contact_name> josh </contact_name>  file  from <start_time> last night </start_time> with some <attachment> attachment </attachment>	search_email
kevin files to dave with attachment	FILES	<contact_name> kevin </contact_name>  files  to <contact_name_to> dave </contact_name_to> with <attachment> attachment </attachment>	search_email
files from penny with dog sheet attachment from december	FILES	 files  from <contact_name_from> penny </contact_name_from> with <keyword> dog </keyword> <attachment_type> sheet </attachment_type> <attachment> attachment </attachment> from <start_date> december </start_date>	search_email
daisys file with attachment	FILES	<contact_name> daisy </contact_name> s  file  with <attachment> attachment </attachment>	search_email
attachments from rose	FILES	<attachment> attachments </attachment> from <contact_name_from> rose </contact_name_from>	search_email
file from robert to cora re chamberlain visit with vst attachments july 2015 to august 2015	FILES	 file  from <contact_name_from> robert </contact_name_from> to <contact_name_to> cora </contact_name_to> re <keyword> chamberlain visit </keyword> with <attachment_type> vst </attachment_type> <attachment> attachments </attachment> <start_date> july 2015 </start_date> to <end_date> august 2015 </end_date>	search_email
show me file from file with vstm	FILES	show me  file  from  file  with <attachment_type> vstm </attachment_type>	search_email
file with attachments from january 1 through march 3	FILES	 file  with <attachment> attachments </attachment> from <start_date> january 1 </start_date> through <end_date> march 3 </end_date>	search_email
look for files with attachments sent last week	FILES	look for  files  with <attachment> attachments </attachment> sent <start_date> last week </start_date>	search_email
look for purchase order attachments in file	FILES	look for <keyword> purchase order </keyword> <attachment> attachments </attachment> in  file 	search_email
file i sent to john with an attachment	FILES	 file  i sent to <contact_name_to> john </contact_name_to> with an <attachment> attachment </attachment>	search_email
find new file from allison with attachments	FILES	find <message_category> new </message_category>  file  from <contact_name_from> allison </contact_name_from> with <attachment> attachments </attachment>	search_email
to dad with pdf attachment	FILES	to <relationship_name_to> dad </relationship_name_to> with <attachment_type> pdf </attachment_type> <attachment> attachment </attachment>	search_email
stacey hot chocolate pastry sent to file decks attachment	FILES	<keyword> stacey hot chocolate pastry </keyword> sent to  file  <attachment_type> decks </attachment_type> <attachment> attachment </attachment>	search_email
files from yesterday with attachments	FILES	 files  from <start_date> yesterday </start_date> with <attachment> attachments </attachment>	search_email
show me attachment ics with tim	FILES	show me <attachment> attachment </attachment> <attachment_type> ics </attachment_type> with <contact_name> tim </contact_name>	search_email
file sent without attachment	FILES	 file  sent <without_attachment> without attachment </without_attachment>	search_email
file with presentation attachment from april	FILES	 file  with <attachment_type> presentation </attachment_type> <attachment> attachment </attachment> from <start_date> april </start_date>	search_email
kristy with attachment words	FILES	<contact_name> kristy </contact_name> with <attachment> attachment </attachment> <attachment_type> words </attachment_type>	search_email
find new files from steven with attachments	FILES	find <message_category> new </message_category>  files  from <contact_name_from> steven </contact_name_from> with <attachment> attachments </attachment>	search_email
files to anna with attachments from may 2017 to may 2018	FILES	 files  to <contact_name_to> anna </contact_name_to> with <attachment> attachments </attachment> from <start_date> may 2017 </start_date> to <end_date> may 2018 </end_date>	search_email
i need to see my files from tammy with photo attachments	FILES	i need to see my  files  from <contact_name_from> tammy </contact_name_from> with <attachment> photo attachments </attachment>	search_email
unread files from ashok with attachments	FILES	<message_category> unread </message_category>  files  from <contact_name_from> ashok </contact_name_from> with <attachment> attachments </attachment>	search_email
ryan work worksheet attachment	FILES	<contact_name> ryan </contact_name> <keyword> work </keyword> <attachment_type> worksheet </attachment_type> <attachment> attachment </attachment>	search_email
file from jen with appliance attachment	FILES	 file  from <contact_name_from> jen </contact_name_from> with <keyword> appliance </keyword> <attachment> attachment </attachment>	search_email
files with attachments on monday	FILES	 files  with <attachment> attachments </attachment> on <start_date> monday </start_date>	search_email
ics attachments from john	FILES	<attachment_type> ics </attachment_type> <attachment> attachments </attachment> from <contact_name_from> john </contact_name_from>	search_email
business file with attachment from sydney to luke	FILES	<keyword> business </keyword>  file  with <attachment> attachment </attachment> from <contact_name_from> sydney </contact_name_from> to <contact_name_to> luke </contact_name_to>	search_email
file with attachment sent by yong	FILES	 file  with <attachment> attachment </attachment> sent by <contact_name_from> yong </contact_name_from>	search_email
window cleaning files with attachment	FILES	<keyword> window cleaning </keyword>  files  with <attachment> attachment </attachment>	search_email
to jim attachment mpt	FILES	to <contact_name_to> jim </contact_name_to> <attachment> attachment </attachment> <attachment_type> mpt </attachment_type>	search_email
supply requests with attachments sent from may to june	FILES	<keyword> supply requests </keyword> with <attachment> attachments </attachment> sent from <start_date> may </start_date> to <end_date> june </end_date>	search_email
file from march with attachment	FILES	 file  from <start_date> march </start_date> with <attachment> attachment </attachment>	search_email
give me files with ppt attachments	FILES	give me  files  with <attachment_type> ppt </attachment_type> <attachment> attachments </attachment>	search_email
find onenotes budget review attachment sent to liam jones	FILES	find <attachment_type> onenotes </attachment_type> <keyword> budget review </keyword> <attachment> attachment </attachment> sent to <contact_name_to> liam jones </contact_name_to>	search_email
stacey hot chocolate pastry sent to file worksheet attachment	FILES	<keyword> stacey hot chocolate pastry </keyword> sent to  file  <attachment_type> worksheet </attachment_type> <attachment> attachment </attachment>	search_email
view files with powerpoint attachments	FILES	view  files  with <attachment_type> powerpoint </attachment_type> <attachment> attachments </attachment>	search_email
files containing music attachments	FILES	 files  containing <keyword> music </keyword> <attachment> attachments </attachment>	search_email
show me file from jason with attachments	FILES	show me  file  from <contact_name_from> jason </contact_name_from> with <attachment> attachments </attachment>	search_email
jos file with attachments	FILES	<contact_name_from> jo </contact_name_from> s  file  with <attachment> attachments </attachment>	search_email
from greg with attachment	FILES	from <contact_name_from> greg </contact_name_from> with <attachment> attachment </attachment>	search_email
file with vsdm attachment in september	FILES	 file  with <attachment_type> vsdm </attachment_type> <attachment> attachment </attachment> in <start_date> september </start_date>	search_email
file with attachment mindflash	FILES	 file  with <attachment> attachment </attachment> <keyword> mindflash </keyword>	search_email
files from jen with appliance attachment	FILES	 files  from <contact_name_from> jen </contact_name_from> with <keyword> appliance </keyword> <attachment> attachment </attachment>	search_email
file sent from abraham jacob on 21st in january with attachments	FILES	 file  sent from <contact_name_from> abraham jacob </contact_name_from> on <start_date> 21st in january </start_date> with <attachment> attachments </attachment>	search_email
filter files with attachments	FILES	filter  files  with <attachment> attachments </attachment>	search_email
lindas file with attachment	FILES	<contact_name> linda </contact_name> s  file  with <attachment> attachment </attachment>	search_email
file regarding health issues with attachment	FILES	 file  regarding <keyword> health issues </keyword> with <attachment> attachment </attachment>	search_email
files with attachment included	FILES	 files  with <attachment> attachment </attachment> included	search_email
files to cora about dresses with attachments	FILES	 files  to <contact_name_to> cora </contact_name_to> about <keyword> dresses </keyword> with <attachment> attachments </attachment>	search_email
mias files with excels attachments	FILES	<contact_name> mia </contact_name> s  files  with <attachment_type> excels </attachment_type> <attachment> attachments </attachment>	search_email
files in accounting with attachment	FILES	 files  in <keyword> accounting </keyword> with <attachment> attachment </attachment>	search_email
doctors files with xray attachment	FILES	<relationship_name_from> doctor </relationship_name_from> s  files  with <keyword> xray </keyword> <attachment> attachment </attachment>	search_email
whats latest attachment craig sent me	FILES	whataposs <order_ref> latest </order_ref> <attachment> attachment </attachment> <contact_name_from> craig </contact_name_from> sent <relationship_name_to> me </relationship_name_to>	search_email
files from roger to cindy between may 7th and june 3rd about birthday with attachment	FILES	 files  from <contact_name_from> roger </contact_name_from> to <contact_name_to> cindy </contact_name_to> between <start_date> may 7th </start_date> and <end_date> june 3rd </end_date> about <keyword> birthday </keyword> with <attachment> attachment </attachment>	search_email
file to louis and frances from may and june that have attachments	FILES	 file  to <contact_name_to> louis </contact_name_to> and <contact_name_to> frances </contact_name_to> from <start_date> may </start_date> and <end_date> june </end_date> that have <attachment> attachments </attachment>	search_email
files with attachments in my inbox	FILES	 files  with <attachment> attachments </attachment> in my <destination_folder> inbox </destination_folder>	search_email
mail with attachment from sssjune about music birthdayd files with attachments between august and october	FILES	mail with <attachment> attachment </attachment> from <contact_name_from> sssjune </contact_name_from> about <keyword> music birthdayd </keyword>  files  with <attachment> attachments </attachment> between <start_date> august </start_date> and <end_date> october </end_date>	search_email
doc attachments sent to jim	FILES	<attachment_type> doc </attachment_type> <attachment> attachments </attachment> sent to <contact_name_to> jim </contact_name_to>	search_email
file from aria with attachments	FILES	 file  from <contact_name_from> aria </contact_name_from> with <attachment> attachments </attachment>	search_email
show all results in outbox with attachments	FILES	show all results in <destination_folder> outbox </destination_folder> with <attachment> attachments </attachment>	search_email
vsdm attachments in file	FILES	<attachment_type> vsdm </attachment_type> <attachment> attachments </attachment> in  file 	search_email
attachments in files work onenote	FILES	<attachment> attachments </attachment> in  files  <keyword> work </keyword> <attachment_type> onenote </attachment_type>	search_email
february 16th file with attachment	FILES	<start_date> february 16th </start_date>  file  with <attachment> attachment </attachment>	search_email
from liza attachment vsdm	FILES	from <contact_name_from> liza </contact_name_from> <attachment> attachment </attachment> <attachment_type> vsdm </attachment_type>	search_email
files with attachment	FILES	 files  with <attachment> attachment </attachment>	search_email
files received containing attachment	FILES	 files  received containing <attachment> attachment </attachment>	search_email
word attachment to jason	FILES	<attachment_type> word </attachment_type> <attachment> attachment </attachment> to <contact_name_to> jason </contact_name_to>	search_email
file from sophie with attachment from august	FILES	 file  from <contact_name_from> sophie </contact_name_from> with <attachment> attachment </attachment> from <start_date> august </start_date>	search_email
attachment from bill	FILES	<attachment> attachment </attachment> from <contact_name_from> bill </contact_name_from>	search_email
file from dwight kruger with vdw attachments	FILES	 file  from <contact_name_from> dwight kruger </contact_name_from> with <attachment_type> vdw </attachment_type> <attachment> attachments </attachment>	search_email
open file with attachments from mary	FILES	open  file  with <attachment> attachments </attachment> from <contact_name_from> mary </contact_name_from>	search_email
show files with diego send me last week with attachments in where town was on it	FILES	show  files  with <contact_name_from> diego </contact_name_from> send <relationship_name_to> me </relationship_name_to> <start_date> last week </start_date> with <attachment> attachments </attachment> in where <keyword> town </keyword> was on it	search_email
file with attachment about doctor appointments between june 10 and june 20 2018	FILES	 file  with <attachment> attachment </attachment> about <keyword> doctor appointments </keyword> between <start_date> june 10 </start_date> and <end_date> june 20 2018 </end_date>	search_email
file with surgeon update docx attachment	FILES	 file  with <keyword> surgeon update </keyword> <attachment_type> docx </attachment_type> <attachment> attachment </attachment>	search_email
attachments from global payroll services	FILES	<attachment> attachments </attachment> from <contact_name_from> global payroll services </contact_name_from>	search_email
locate file about healthcare with attachment	FILES	locate  file  about <keyword> healthcare </keyword> with <attachment> attachment </attachment>	search_email
files with attachment received between august 3 and august 14	FILES	 files  with <attachment> attachment </attachment> received between <start_date> august 3 </start_date> and <end_date> august 14 </end_date>	search_email
file attachment from jacqueline	FILES	 file  <attachment> attachment </attachment> from <contact_name_from> jacqueline </contact_name_from>	search_email
file from october that have attachments	FILES	 file  from <start_date> october </start_date> that have <attachment> attachments </attachment>	search_email
file attachment on music	FILES	 file  <attachment> attachment </attachment> on <keyword> music </keyword>	search_email
last week file with attachment	FILES	<start_date> last week </start_date>  file  with <attachment> attachment </attachment>	search_email
which file contain ppt attachments	FILES	which  file  contain <attachment_type> ppt </attachment_type> <attachment> attachments </attachment>	search_email
which files contain word attachments	FILES	which  files  contain <attachment_type> word </attachment_type> <attachment> attachments </attachment>	search_email
from mithila all attachments	FILES	from <contact_name_from> mithila </contact_name_from> all <attachment> attachments </attachment>	search_email
file with attachment from august 3rd	FILES	 file  with <attachment> attachment </attachment> from <start_date> august 3rd </start_date>	search_email
attachments from phil	FILES	<attachment> attachments </attachment> from <contact_name_from> phil </contact_name_from>	search_email
i need to see file from john with vcs attachments	FILES	i need to see  file  from <contact_name_from> john </contact_name_from> with <attachment_type> vcs </attachment_type> <attachment> attachments </attachment>	search_email
files that include attachments	FILES	 files  that include <attachment> attachments </attachment>	search_email
attachment vssx from youngs	FILES	<attachment> attachment </attachment> <attachment_type> vssx </attachment_type> from <contact_name_from> youngs </contact_name_from>	search_email
attachments in files vstx	FILES	<attachment> attachments </attachment> in  files  <attachment_type> vstx </attachment_type>	search_email
from roger with attachment	FILES	from <contact_name_from> roger </contact_name_from> with <attachment> attachment </attachment>	search_email
file from robert with attachments from june 2015 to july 2016	FILES	 file  from <contact_name_from> robert </contact_name_from> with <attachment> attachments </attachment> from <start_date> june 2015 </start_date> to <end_date> july 2016 </end_date>	search_email
vacation planning files from tori with attachments sent from last month	FILES	<keyword> vacation planning </keyword>  files  from <contact_name_from> tori </contact_name_from> with <attachment> attachments </attachment> sent from <start_date> last month </start_date>	search_email
funny jokes file from george which contains attachment	FILES	<keyword> funny jokes </keyword>  file  from <contact_name_from> george </contact_name_from> which contains <attachment> attachment </attachment>	search_email
peter with attachment excel	FILES	<contact_name> peter </contact_name> with <attachment> attachment </attachment> <attachment_type> excel </attachment_type>	search_email
words was included on attachment	FILES	<attachment_type> words </attachment_type> was included on <attachment> attachment </attachment>	search_email
message from april 5th with resume attachment	FILES	message from <start_date> april 5th </start_date> with <keyword> resume </keyword> <attachment> attachment </attachment>	search_email
files from professor with attachment	FILES	 files  from <contact_name_from> professor </contact_name_from> with <attachment> attachment </attachment>	search_email
ppts attachment from goku	FILES	<attachment_type> ppts </attachment_type> <attachment> attachment </attachment> from <contact_name_from> goku </contact_name_from>	search_email
dementia attachment	FILES	<keyword> dementia </keyword> <attachment> attachment </attachment>	search_email
to sarach attachments	FILES	to <contact_name_to> sarach </contact_name_to> <attachment> attachments </attachment>	search_email
yesterday he sent me an file about ppts attachments on dogs	FILES	<start_date> yesterday </start_date> he sent <relationship_name_to> me </relationship_name_to> an  file  about <attachment_type> ppts </attachment_type> <attachment> attachments </attachment> on <keyword> dogs </keyword>	search_email
doctors file with xray attachment	FILES	<relationship_name_from> doctor </relationship_name_from> s  file  with <keyword> xray </keyword> <attachment> attachment </attachment>	search_email
show me file with attachments from may	FILES	show me  file  with <attachment> attachments </attachment> from <start_date> may </start_date>	search_email
attachment documents angelina	FILES	<attachment> attachment </attachment> <attachment_type> documents </attachment_type> <contact_name> angelina </contact_name>	search_email
file to jimmy and nate with attachment	FILES	 file  to <contact_name_to> jimmy </contact_name_to> and <contact_name_to> nate </contact_name_to> with <attachment> attachment </attachment>	search_email
from darlene vsd attachment	FILES	from <contact_name_from> darlene </contact_name_from> <attachment_type> vsd </attachment_type> <attachment> attachment </attachment>	search_email
find jims files attachment	FILES	find <contact_name> jim </contact_name> s  files  <attachment> attachment </attachment>	search_email
files with onenote attachments	FILES	 files  with <attachment_type> onenote </attachment_type> <attachment> attachments </attachment>	search_email
file from jim boyle with docx attachments	FILES	 file  from <contact_name_from> jim boyle </contact_name_from> with <attachment_type> docx </attachment_type> <attachment> attachments </attachment>	search_email
to gina with attachment msg	FILES	to <contact_name_to> gina </contact_name_to> with <attachment> attachment </attachment> <attachment_type> msg </attachment_type>	search_email
find files from tony with attachment	FILES	find  files  from <contact_name_from> tony </contact_name_from> with <attachment> attachment </attachment>	search_email
let me see file with vss attachments	FILES	let me see  file  with <attachment_type> vss </attachment_type> <attachment> attachments </attachment>	search_email
files with attachments between january and march	FILES	 files  with <attachment> attachments </attachment> between <start_date> january </start_date> and <end_date> march </end_date>	search_email
files containing png attachment	FILES	 files  containing <attachment_type> png </attachment_type> <attachment> attachment </attachment>	search_email
funny cat excel attachment in file	FILES	<keyword> funny cat </keyword> <attachment_type> excel </attachment_type> <attachment> attachment </attachment> in  file 	search_email
files to bill from katanga with attachment	FILES	 files  to <contact_name_to> bill </contact_name_to> from <contact_name_from> katanga </contact_name_from> with <attachment> attachment </attachment>	search_email
lindas files from september with attachments	FILES	<contact_name> linda </contact_name> s  files  from <start_date> september </start_date> with <attachment> attachments </attachment>	search_email
files received between september 1 and september 15 with attachments	FILES	 files  received between <start_date> september 1 </start_date> and <end_date> september 15 </end_date> with <attachment> attachments </attachment>	search_email
to jim attachment excel	FILES	to <contact_name_to> jim </contact_name_to> <attachment> attachment </attachment> <attachment_type> excel </attachment_type>	search_email
emails dated in november with attachments	FILES	<message_type> dated in <start_date> november </start_date> with <attachment> attachments </attachment>	search_email
files with attachments from david	FILES	 files  with <attachment> attachments </attachment> from <contact_name_from> david </contact_name_from>	search_email
find yesterday file with attachment	FILES	find <start_date> yesterday </start_date>  file  with <attachment> attachment </attachment>	search_email
file from john with attachment from april	FILES	 file  from <contact_name_from> john </contact_name_from> with <attachment> attachment </attachment> from <start_date> april </start_date>	search_email
files without attachments	FILES	 files  <without_attachment> without attachments </without_attachment>	search_email
attachment from jim	FILES	<attachment> attachment </attachment> from <contact_name_from> jim </contact_name_from>	search_email
vsdm attachment to jack	FILES	<attachment_type> vsdm </attachment_type> <attachment> attachment </attachment> to <contact_name_to> jack </contact_name_to>	search_email
search for files with attachments about sales	FILES	search for  files  with <attachment> attachments </attachment> about <keyword> sales </keyword>	search_email
search for all file with vst attachments	FILES	search for <emailsearch_other> all </emailsearch_other>  file  with <attachment_type> vst </attachment_type> <attachment> attachments </attachment>	search_email
files from jim boyle with slide attachments	FILES	 files  from <contact_name_from> jim boyle </contact_name_from> with <attachment_type> slide </attachment_type> <attachment> attachments </attachment>	search_email
he files from jose with attachments	FILES	he  files  from <contact_name_from> jose </contact_name_from> with <attachment> attachments </attachment>	search_email
i want to see wes attachments with onenote	FILES	i want to see <contact_name> wes </contact_name> <attachment> attachments </attachment> with <attachment_type> onenote </attachment_type>	search_email
from lia mpt attachment	FILES	from <contact_name_from> lia </contact_name_from> <attachment_type> mpt </attachment_type> <attachment> attachment </attachment>	search_email
file from joe workbook attachment	FILES	 file  from <contact_name_from> joe </contact_name_from> <attachment_type> workbook </attachment_type> <attachment> attachment </attachment>	search_email
files with slide attachment	FILES	 files  with <attachment_type> slide </attachment_type> <attachment> attachment </attachment>	search_email
files that has attachment sent yesterday about weather	FILES	 files  that has <attachment> attachment </attachment> sent <start_date> yesterday </start_date> about <keyword> weather </keyword>	search_email
show me new files from allison with attachments	FILES	show me <message_category> new </message_category>  files  from <contact_name_from> allison </contact_name_from> with <attachment> attachments </attachment>	search_email
file containing new edition blueprint attachment sent from jed	FILES	 file  containing <keyword> new edition blueprint </keyword> <attachment> attachment </attachment> sent from <contact_name_from> jed </contact_name_from>	search_email
