MessageText	JudgedDomain	JudgedIntent	JudgedConstraints	ConversationContext	Cat
Jump to slide 22.	INMEETING	goto_slide	Jump to slide <slide_number>22</slide_number>.	{'UserFileNames': ['Cortana UWP app - skill readiness', 'Android Core skills+Extras', 'Assistant', 'Cortana in Teams R2 Weekly Shiproom', 'DRI', 'Transit', 'SM FY20 preview scenarios', 'IcM PowerBI Base Query', 'Cortana_Assistance_RajeshMPR_Jan2020_Deck', 'Cortana Platform Weekly Shiproom 10Feb2020', 'LiorHaimCV', 'FY20 Q3 Assistant Platform - Runtime OKR', 'SM + Cortana Platform Weekly Shiproom 5Feb2020', 'Compliant AI in M365 - Rajesh Review - 01-24-2020', 'ComplianceAuth_onebox_Err', 'PowerPoint Dog food Testing', 'Excel Dog food Testing', 'Word Dog food Testing', 'PerfStatusUpdates', 'Know Your Product Jan 2020'], 'UserFileNameKeyPhrases': ['test cases', 'ios', 'commute', 'test cases report', 'testcasesreport', 'set up cortana', 'cases report', 'set cortana', 'os', 'cases', 'core skills extras', 'extras and skills', 'cases report week', 'skills and extras', 'test report week', 'ios commute pass', 'test cases week', 'core and extras', 'os commute pass', 'cortana teams']}	NegativeCrossDomainNoMatch
Present the sample deck.	INMEETING	start_presenting	Present the <deck_name>sample</deck_name> deck.	{'UserFileNames': ['2020_01_SmartComposeMonthlyReview', 'Substrate Perf Shiproom - 2020-1-29', 'Cortana in Teams R2 Weekly Shiproom', 'Feedback OKRs', 'AI 365 30 January 2020', 'Backlog', 'Running Feature Rollouts', 'KWS Manual Testing', 'MSA and AAD Report', 'Vendor Allocation', 'MSAI - CSI Work List', 'Android Core skills+Extras', 'M365 Search - 3S Instrumentation - Client Contracts', 'Bugs on Kingston', 'Kingston_Core Skills_Testing', 'Compliant AI in M365 - Rajesh Review - 01-24-2020', 'iOS Core Skills + Extras', 'iOS Commute Pass', 'Sample App Testing', 'Voice Skills BVT Manual Test Cases (Core)'], 'UserFileNameKeyPhrases': ['shiproom', 'msai', 'perf', 'fy20', 'substrate perf shiproom', 'om focused shiproom', 'substrate shiproom', 'focused shiproom', 'substrate perf', 'perf shiproom', 'om shiproom', 'om focused', 'substrate', 'omc', 'substrate shiproom 2020', 'search instrumentation', 'substrate perf 2020', 'perf shiproom 2020', 'substrate 2020', 'shiproom 2020']}	NegativeCrossDomainNoMatch
Present the plus deck.	INMEETING	start_presenting	Present the <deck_name>plus</deck_name> deck.	{'UserFileNames': ['Outlook Mobile Growth - December 18th working session', 'Convergence_TVS+SA', 'Cortana Deprecations Tracker', 'Assistant', 'AI+R Scorecard', 'ComplainceHMDSDesignDoc', 'GRC Review Office Hours Sign-Up Sheet', 'FY21 Substrate Budget Planning', 'Readability in PME', '[Migrated] Onboarding to ExP', 'MSAI - CSI Work List', 'device_information', 'Principal Briefing FINAL Posted Jan 23 2020', 'Cortana UWP app - skill readiness', "Steve's Team", 'Cortana in Teams FAQ', 'Microsoft Search User Job Framework', 'Resume_Jerry_Zhang', 'Cortana in Teams R2 Weekly Shiproom', 'Calling out new features'], 'UserFileNameKeyPhrases': ['core skills', 'kingston core skills', 'core skills testing', 'kingston skills', 'kingston device', 'set up cortana', 'kingston core', 'core testing', 'set cortana', 'commute', 'skills testing', 'ios', 'kingston device skills', 'device skills testing', 'kingston device core', 'device core testing', 'device core skills', 'ios commute pass', 'os commute pass', 'device skills']}	NegativeCrossDomainNoMatch
Hey Cortana move to slide number one.	INMEETING	goto_slide	Hey Cortana move to slide number <slide_number>one</slide_number>.	{'UserFileNames': ['Cortana UWP app - skill readiness', '01-30-2020 Knowledge Bot - Full', 'Deprecation plan - Cortana Mobile Apps', 'Deprecation Proposal - January 2020 - LT Review', 'Cortana on Windows Vibranium International Plan', 'GDPR Service Solution for Cortana', 'Hx Partner Asks', 'S+A H2 Planning', 'Cortana transition announcement - DRAFT', 'Cortana in Teams R2 Weekly Shiproom', 'S+A Assistant Resourcing Map', 'Augmentation Loop Walking Deck', 'S+A OM focused Shiproom 01282020', 'Search and Assistant in Outlook Mobile - Quarterly Plan Checkpoint - January 29th', 'BillingWorker', 'Deprecation Deck v2', 'IcM PowerBI Base Query', 'UWP Skill roundup - Privacy Security Compliance tracking', 'SM FY20 _ full context', 'Assistant Roadmap Sync'], 'UserFileNameKeyPhrases': ['test cases', 'test cases report', 'testcasesreport', 'cases report', 'cases', 'cases report week', 'test report week', 'test cases week', 'cases week', 'test week', 'cortana teams', 'report week', 'test report', 'set up cortana', 'set cortana', 'ios', 'commute', 'os', 'core skills', 'core skills extras']}	NegativeCrossDomainNoMatch
Go to 2nd slide.	INMEETING	goto_slide	Go to <slide_number>2nd</slide_number> slide.	{'UserFileNames': ['MTIS - Meeting intelligent', '01-30-2020 Knowledge Bot - Full', 'Welcome', 'Cortana in Teams FAQ', 'DRI Playbook', 'MTIS Overview', '08-15-2019  ‘SCIS’ Extension- supporting conversation caching - Full', 'OneNote_DeletedPages', 'DeepLearning', 'APIs', 'ObjectStore INT DRI', 'Running Experiments - Advanced', 'Cortana transition announcement - DRAFT', 'Cortana in Teams R2 Weekly Shiproom', 'Cortana UWP app - skill readiness', 'Compliant Skills - Onboarding Steps', 'M365 Search - 3S Instrumentation - Client Contracts', 'Evoke', 'Deprecation Deck v2', 'MicrosoftSearch-UniversalAPI'], 'UserFileNameKeyPhrases': ['shiproom', 'cortana in teams', 'cortana teams', 'voice', 'voice skills', 'msai', 'skill', 'dogfood testing', 'dogfood', 'fy20', 'skills test', 'focused', 'israel', 'lu', 'totalclienterrorsrawdatalog2020 01', 'substrate shiproom 2020', 'substrate perf shiproom', 'om focused shiproom', 'voice skills manual', 'substrate perf 2020']}	NegativeCrossDomainNoMatch
Present the possum PowerPoint.	INMEETING	start_presenting	Present the <deck_name>possum</deck_name> PowerPoint.	{'UserFileNames': ['Extended logging support for MSFT employees', 'Knowledge bot MVP spec - Nov 19', 'Cortana on Windows - Scorecard draft', 'Search fallback on Teams product plan - H2FY20', 'STCI MSAI Shiproom - Current', 'Cortana UWP app - skill readiness', 'Cortana Israel - Action Item extraction - Shiproom', 'Audience Expansion', 'Weekly Whole Page and Answers Ship Meeting', 'CSCW A Study of Meeting Effectiveness and Inclusion in Remote Collaboration', 'A Study of Meeting Effectiveness and Inclusion in Remote Collaboration', 'Movies + Showtimes', 'Highlights extraction from meeting transcript - Jan 2020', 'TVS - Working Session - 20200210', 'Web-knowledge aware experiences', 'Cortana in Teams R2 Weekly Shiproom', 'Deprecation Proposal - January 2020 - LT Review', 'Kingston-WorkingDeck', 'Cortana Deprecations Tracker', 'DeepSpeed with ZeRO Release'], 'UserFileNameKeyPhrases': ['azure arm management', 'azure management', 'arm management', 'azure arm', 'arm', 'azure management ports', 'arm management ports', 'management ports', 'azure arm ports', 'azure ports', 'arm ports', 'ports', 'vst', 'cortana teams', '706bf 8b 2', '8b 2', '3c', 'voice', 'azurearmmanagementports062c3243 3c1a 4647', 'azurearmmanagementports062c3243 4647 a71f']}	NegativeCrossDomainNoMatch
Go to only here slide.	INMEETING	goto_slide	Go to <slide_name>only here</slide_name> slide.	{'UserFileNames': ['Cortana UWP app - skill readiness', '01-30-2020 Knowledge Bot - Full', 'Deprecation plan - Cortana Mobile Apps', 'Deprecation Proposal - January 2020 - LT Review', 'Cortana on Windows Vibranium International Plan', 'GDPR Service Solution for Cortana', 'Hx Partner Asks', 'S+A H2 Planning', 'Cortana transition announcement - DRAFT', 'Cortana in Teams R2 Weekly Shiproom', 'S+A Assistant Resourcing Map', 'Augmentation Loop Walking Deck', 'S+A OM focused Shiproom 01282020', 'Search and Assistant in Outlook Mobile - Quarterly Plan Checkpoint - January 29th', 'BillingWorker', 'Deprecation Deck v2', 'IcM PowerBI Base Query', 'UWP Skill roundup - Privacy Security Compliance tracking', 'SM FY20 _ full context', 'Assistant Roadmap Sync'], 'UserFileNameKeyPhrases': ['cortana teams', 'cortana in teams', 'voice skills', 'untitled form', 'fy20', 'untitled', 'voice', 'deprecation', 'msai', 'okrs', 'm365', 'rajesh', 'ai', 'skills manual', 'skills test', 'cortana teams completion', 'completion rate criteria', 'completion exit criteria', 'email general suggested', 'general suggested tasks']}	NegativeCrossDomainNoMatch
Present the deck how to project.	INMEETING	start_presenting	Present the deck <deck_name>how to project</deck_name>.	{'UserFileNames': ['M365 Search - 3S Instrumentation - Client Contracts', 'MSAI - CSI Work List', 'Cortana in Teams R2 Weekly Shiproom', 'Embedded Intelligence Checkpoint (Jan 2020)', 'Functions on Linux', 'FY21 Substrate Budget Planning', 'Substrate Perf Shiproom - 2020-1-29', 'Mavens Micro Coaching Sign Up - Jan 2020', 'OMC Perf doc', 'Running Experiments', 'GOVERNNMENT ONLY - BRK30015 - Ignite Tour - Exchange Hybrid - The What, The Why and the How - final', 'Release Notes', 'Microsoft Search Feature Review Schedule & Agenda', 'Documentation', 'Manganese-Search', 'Calendar Answer', 'SERP Grid and Layout', 'Meeting Notes', 'CLP V-Team Status', 'Substrate Partner Discussion with Teams_01_13_2020'], 'UserFileNameKeyPhrases': ['shiproom', 'msai', 'fy20', 'perf', 'om focused shiproom', 'focused shiproom', 'om shiproom', 'om focused', 'substrate', 'focused', 'omc', 'substrate perf shiproom', 'search instrumentation', 'substrate shiproom', 'substrate perf', 'perf shiproom', 'fy20 q3', 'feedback', 'emails', 'instrumentation']}	NegativeCrossDomainNoMatch
Move to the high quality slide.	INMEETING	goto_slide	Move to the <slide_name>high quality</slide_name> slide.	{'UserFileNames': ['XAP', 'Cortana UWP app - skill readiness', '1756920 - OOB ranking', '2020_01_SmartComposeMonthlyReview', 'OWA NL Bug Bash', 'Cortana on Windows Vibranium International Plan', 'Weekly Whole Page and Answers Ship Meeting', 'Jan Review', 'S+A H2 Planning', 'ESCostModel', 'ESCommonCostModel', 'fy20okr', 'Containers on Substrate - 12112019', 'GroupsvNextShipRoom_20200123', 'Bootcamp TOC', 'Substrate Groups Provisioning Latency Reduction', 'Objective inference of intent with C2M', 'S+A OM focused Shiproom 01212020', 'Assistant Roadmap Sync', 'Mavens Micro Coaching Sign Up - Jan 2020'], 'UserFileNameKeyPhrases': ['core skills', 'kingston core skills', 'core skills testing', 'kingston device', 'kingston skills', 'set up cortana', 'kingston core', 'core testing', 'set cortana', 'commute', 'skills testing', 'ios', 'kingston device skills', 'device skills testing', 'kingston device core', 'device core testing', 'device core skills', 'ios commute pass', 'os commute pass', 'device skills']}	NegativeCrossDomainNoMatch
Go to first slide	INMEETING	goto_slide	Go to <slide_number>first</slide_number> slide	{'UserFileNames': ['Voice Skills BVT - basic test cases', 'Welcome', 'Cortana in Teams R2 Weekly Shiproom', 'Team', '3S Signal Enrichment', 'Cortana Israel - Requests and Scheduling Intent- Shiproom', 'Cortana UWP app - skill readiness', 'Cortana Israel - Action Item extraction - Shiproom', 'Substrate Knowledge Weekly Meeting slides', 'FY21 Substrate Budget Planning', 'TAAlignment', '2019-11 MSAI IL Research - Task Modeling Overview with Nitin', 'Action Items - Scheduling - Tasks - Summary Slides on Each - 2020-02-03', '02-02-2020 MTIS Pipeline', 'Embedded Intelligence Checkpoint (Jan 2020)', 'AI Email Exp', 'MSAI-MyA Q3 plan and dependencies', '2019-07 Action Item Extraction from Meetings - MSAIL Research IL', 'SCIS and MTIS architecture', 'Cortana in Teams - Contact Resolution in Communication Skills'], 'UserFileNameKeyPhrases': ['msai', 'substrate', 'shiproom', 'fy20', 'substrate perf shiproom', 'substrate shiproom', 'working session', 'substrate perf', 'perf shiproom', 'commute', '24h', 'perf', 'omc', 'substrate shiproom 2020', 'substrate perf 2020', 'perf shiproom 2020', 'substrate 2020', 'shiproom 2020', 'mobile search', 'perf 2020']}	NegativeCrossDomainNoMatch
Present the dogs deck.	INMEETING	start_presenting	Present the <deck_name>dogs</deck_name> deck.	{'UserFileNames': ['Input_summit_092519_ShelleyBjornstad', 'Cortana UWP app - skill readiness', 'Welcome', '01-30-2020 Knowledge Bot - Full', 'Deprecation plan - Cortana Mobile Apps', 'Team Sizes', 'Sitting Plan', 'People Also Ask', 'Build Substrate Intelligence with Scale', 'Cortana in Teams FAQ', 'Deprecation Proposal - January 2020 - LT Review', 'AI 365 30 January 2020', 'Signed_Tax_InvoiceReceipt_No_146689', 'Spring2020-MLADS-Reviewers', 'Analysis and Data', 'Microsoft Search User Job Framework', 'Cortana on Windows Vibranium International Plan', 'Analyzing Experiments - Advanced', 'Cortana transition announcement - DRAFT', 'Compliant AI in M365 - Rajesh Review - 01-24-2020'], 'UserFileNameKeyPhrases': ['msai', 'fy20', 'perf', 'shiproom', 'okrs', 'azure arm management', 'azure management', 'arm management', 'cortana teams', 'voice skills', 'azure arm', 'fy20 q3', 'cortana in teams', 'working session', 'q3', 'voice', 'substrate', 'arm', 'substrate perf shiproom', 'substrate shiproom']}	NegativeCrossDomainNoMatch
Go to slide 25.	INMEETING	goto_slide	Go to slide <slide_number>25</slide_number>.	{'UserFileNames': ['Cortana on Windows - Scorecard draft', 'Teams Mobile Search Dev Spec - Answers', 'Scrum', 'Teams voice', 'AI+R Scorecard', 'Education_Sample_Payload', 'TM onboard', 'Voice skills in Teams Funnel', 'MSAI Cognition H2 OKRs', 'OM onboard', 'Cortana UWP app - skill readiness', 'Meeting', 'Voice Skills BVT Manual Test Cases (Core)', 'bi_telemetry_mobile', 'S+A H2 Planning', 'MVPSummit_MicrosoftTeamsArchitectureSession_March2019', 'Centralized Dashboard', 'Teams Suggested Tips', 'Flighting Plan', "Steve's Team"], 'UserFileNameKeyPhrases': ['cortana teams', 'msai', 'cortana in teams', 'mtis', 'substrate', 'working session', '2019 action', 'private', 'action items', '202001 roleofaiineffectivemeetings', 'roleofaiineffectivemeetings', 'aiin effective meetings', 'working session role', 'running experiments', 'role aiin effective', 'session role aiin', 'role of effective', 'private endpoints', '2019 action items', 'substrate working']}	NegativeCrossDomainNoMatch
Present the review Test deck.	INMEETING	start_presenting	Present the <deck_name>review Test</deck_name> deck.	{'UserFileNames': ['Mobile Clients - Release Tracking', 'Rooms and Devices - Engineering', '01-30-2020 Knowledge Bot - Full', 'Mobile Clients_DefaultNotes', 'Dev Monthly Plan', 'Assistant', 'Doc skills1', 'Doc skills', 'Sprint Status', 'Shiproom_DefaultNotes', 'Growth - OneNote', 'Restricted Visibility for Guests', 'Cortana in Teams R2 Weekly Shiproom', 'DRI', 'Kingston', 'SfB Interop Monitoring', 'S+A OM focused Shiproom 01282020', 'Mobile Design Backlog', 'Chat Service Web API Reference', 'IcM PowerBI Base Query'], 'UserFileNameKeyPhrases': ['shiproom', 'cortana in teams', 'cortana teams', 'msai', 'cortana on windows', 'cortana windows', 'deprecation', 'perf', 'om focused shiproom', 'focused shiproom', 'voice skills', 'om shiproom', 'om focused', 'fy20', 'voice', '3s', 'focused', 'deprecation plan cortana', 'search instrumentation', 'teams working session']}	NegativeCrossDomainNoMatch
Go to slide number them	INMEETING	goto_slide	Go to slide <slide_name>number them</slide_name>	{'UserFileNames': ['DRI', 'iOS Core Skills + Extras', 'iOS Commute Pass - Weekly', 'Kingston-Device 2-BVT', 'Android Core skills+Extras', 'ICE Services Weekly Review', 'Yubikey requests', 'Feedback OKRs', 'Running Feature Rollouts', 'MSAI - CSI Work List', 'Bugs on Kingston', 'DRI NoteBook', 'Vendor Allocation', 'MSA and AAD Report', 'M365 Search - 3S Instrumentation - Client Contracts', 'MSA and AAD Report1', 'Compliant AI in M365 - Rajesh Review - 01-24-2020', 'Show top customer DSATs on 3SDash', 'Feedback Working Session Document', 'iOS Commute Pass'], 'UserFileNameKeyPhrases': ['core skills', 'kingston core skills', 'core skills testing', 'kingston skills', 'kingston device', 'set up cortana', 'kingston core', 'core testing', 'set cortana', 'commute', 'test cases', 'skills testing', 'ios', 'kingston device skills', 'device skills testing', 'kingston device core', 'device core testing', 'device core skills', 'ios commute pass', 'os commute pass']}	NegativeCrossDomainNoMatch
Present the potatoes deck.	INMEETING	start_presenting	Present the <deck_name>potatoes</deck_name> deck.	{'UserFileNames': ['AI 365 30 January 2020', 'iOS Commute Outlook Pass', 'Running Feature Rollouts', 'Compliant AI in M365 - Rajesh Review - 01-24-2020', 'KWS Manual Testing', 'iOS Commute Pass - Weekly', 'Android Core skills+Extras', 'iOS Core Skills + Extras', 'Feedback OKRs', 'MSAI - CSI Work List', 'Cortana in Teams R2 Weekly Shiproom', 'DRI', 'Vendor Allocation', 'WebSdk Testing', 'FY20 Q3 At a Glance - Keypoints', 'MSA and AAD Report', 'Voice Skills BVT Manual Test Cases (Core)', 'ServicesManager', 'Bugs on Kingston', 'Kingston_Core Skills_Testing'], 'UserFileNameKeyPhrases': ['azure arm management', 'azure management', 'arm management', 'azure arm', 'arm', 'azure management ports', 'arm management ports', 'management ports', 'azure arm ports', 'azure ports', 'arm ports', 'ports', 'vst', 'cortana in teams', 'cortana teams', 'voice', '3c', 'speclet kingston', 'voice skills', '706bf 8b 2']}	NegativeCrossDomainNoMatch
Present the deck I was.	INMEETING	start_presenting	Present the deck <file_filerecency>I was</file_filerecency>.	{'UserFileNames': ['Microsoft Search Feature Review Schedule & Agenda', 'Model-D-Azure-overview-CB', 'iOS Core Skills + Extras', 'MSAI_LU_Measurement_Story_02032020', 'Teams Insight', 'Cortana S+A Contract', 'Engineering', 'Knowledge Base (iOS)', 'Meeting Notes', 'Assistant Roadmap Sync', 'Dev Newbie', 'DataMetricsJanuarySummary', 'Cortana on Windows - Scorecard draft', 'MSAI Universal Search and Recommendations', 'Sprint Status', '[PM Spec] Metrics (Client) in PME Scorecard for Experiment', 'Completion Rate Analysis', 'Compliant AI in M365 - Rajesh Review - 01-24-2020', '1-Pager for UCS integration of OMC client data', 'Incubation Program'], 'UserFileNameKeyPhrases': ['shiproom', 'voice skills', 'cortana in teams', 'cortana teams', 'voice', 'teams 2020', 'review jan', 'uwp', 'skills test', 'teams weekly shiproom', 'voice skills manual', 'om focused shiproom', 'cortana on windows', 'r2 weekly shiproom', 'skills manual test', 'teams r2 shiproom', 'cortana teams r2', 'focused shiproom', 'voice skills bvt', 'weekly shiproom']}	NegativeCrossDomainNoMatch
Go to slide 15.	INMEETING	goto_slide	Go to slide <slide_number>15</slide_number>.	{'UserFileNames': ['Outlook Mobile Growth - December 18th working session', 'Convergence_TVS+SA', 'Cortana Deprecations Tracker', 'Assistant', 'AI+R Scorecard', 'ComplainceHMDSDesignDoc', 'GRC Review Office Hours Sign-Up Sheet', 'FY21 Substrate Budget Planning', 'Readability in PME', '[Migrated] Onboarding to ExP', 'MSAI - CSI Work List', 'device_information', 'Principal Briefing FINAL Posted Jan 23 2020', 'Cortana UWP app - skill readiness', "Steve's Team", 'Cortana in Teams FAQ', 'Microsoft Search User Job Framework', 'Resume_Jerry_Zhang', 'Cortana in Teams R2 Weekly Shiproom', 'Calling out new features'], 'UserFileNameKeyPhrases': ['shiproom', 'fy20', 'voice skills', 'cortana in teams', 'cortana teams', 'msai', 'voice', 'working session', 'om focused shiproom', 'focused shiproom', 'om shiproom', 'om focused', 'okrs', 'review jan', 'q3', 'bot', 'skills test', 'focused', 'fy20 assistant platform', 'assistant platform okr']}	NegativeCrossDomainNoMatch
Go to the sales chart slide.	INMEETING	goto_slide	Go to the <slide_name>sales chart</slide_name> slide.	{'UserFileNames': ['Smart Reply Android R1 Release', 'Assistant', 'Monthly Suzhou team report', 'Cortana in Teams R2 Weekly Shiproom', 'UAP', 'Dogfooding Users-modified', 'Design Revision', 'Kingston-WorkingDeck', 'Model Self-Serve', 'Cortana in Teams R2 Weekly Shiproom 2-5', 'MSAI STCA FY20 Kickoff', 'New hire', 'Extended logging support for MSFT employees', 'Events', 'Team Mobile Search - 3S dependency list', 'VST Funnel', 'Voice Skills BVT Manual Test Cases (Core)', 'M365 Search - 3S Instrumentation - Client Contracts', 'bi_telemetry_mobile', 'Device Control Toggle Feedback Speclet - Kingston'], 'UserFileNameKeyPhrases': ['shiproom', 'msai', 'fy20', 'perf', 'om focused shiproom', 'focused shiproom', 'om shiproom', 'om focused', 'substrate', 'omc', 'substrate perf shiproom', 'substrate shiproom', 'substrate perf', 'perf shiproom', 'fy20 q3', 'focused', 'feedback', 'emails', 'redirection service guide', 'substrate shiproom 2020']}	NegativeCrossDomainNoMatch
Hey Cortana present the recent deck.	INMEETING	start_presenting	Hey Cortana present the <file_filerecency>recent</file_filerecency> deck.	{'UserFileNames': ['Extended logging support for MSFT employees', 'Dogfooding Users-modified', 'Cortana in Teams R2 Weekly Shiproom', 'Voice Skills BVT Manual Test Cases (Core)', 'M365 Search - 3S Instrumentation - Client Contracts', 'Monthly Suzhou team report', 'bi_telemetry_mobile', 'Kingston-WorkingDeck', 'New hire', 'Model Self-Serve', 'Device Control Toggle Feedback Speclet - Kingston', '[Dev spec]Teams Mobile Search Baseline Instrumentation', 'VST Funnel', 'Voice Skills BVT - basic test cases', 'Drive Completion Rate for GA', 'Kingston', '[PM spec]Teams Mobile Search Instrumentation', 'Dictation - Kingston', 'Performance and Scenario Markers - Kingston', 'Design Revision'], 'UserFileNameKeyPhrases': ['msai', 'substrate', 'shiproom', 'fy20', 'substrate perf shiproom', 'substrate shiproom', 'working session', 'substrate perf', 'perf shiproom', 'commute', '24h', 'perf', 'omc', 'substrate shiproom 2020', 'substrate perf 2020', 'perf shiproom 2020', 'substrate 2020', 'shiproom 2020', 'mobile search', 'perf 2020']}	NegativeCrossDomainNoMatch
Final slide.	INMEETING	goto_slide	<slide_number>Final</slide_number> slide.	{'UserFileNames': ['ICE Services Weekly Review', 'Running Feature Rollouts', 'Feedback OKRs', 'Compliant AI in M365 - Rajesh Review - 01-24-2020', 'iOS Core Skills + Extras', 'Show top customer DSATs on 3SDash', 'Feedback Working Session Document', 'iOS Commute Pass', 'Kingston-Device 2', 'Android Core skills+Extras', 'Cortana in Teams R2 Weekly Shiproom', 'Data Oracle', 'Yubikey requests', 'M365 Search - 3S Instrumentation - Client Contracts', 'APIs', 'The way the cookie crumbles', 'MSAI - CSI Work List', '2020_01_SmartComposeMonthlyReview', 'MSA and AAD Report', 'TaskExtractiononTeams'], 'UserFileNameKeyPhrases': ['beyondsoft', 'xiao ice', 'xiaoice', 'xiao', 'search instrumentation', 'share point vendor', 'sharepoint vendor', 'beyondsoft resume', 'mobile search', 'vendor review', 'point vendor', 'teams mobile', 'share vendor', 'share point', '51job', 'instrumentation', 'ice', 'omc', 'mobile search instrumentation', 'mobile instrumentation']}	NegativeCrossDomainNoMatch
Present the Task deck.	INMEETING	start_presenting	Present the <deck_name>Task</deck_name> deck.	{'UserFileNames': ['M365 Search - 3S Instrumentation - Client Contracts', 'MSAI - CSI Work List', 'Cortana in Teams R2 Weekly Shiproom', 'Embedded Intelligence Checkpoint (Jan 2020)', 'Functions on Linux', 'FY21 Substrate Budget Planning', 'Substrate Perf Shiproom - 2020-1-29', 'Mavens Micro Coaching Sign Up - Jan 2020', 'OMC Perf doc', 'Running Experiments', 'GOVERNNMENT ONLY - BRK30015 - Ignite Tour - Exchange Hybrid - The What, The Why and the How - final', 'Release Notes', 'Microsoft Search Feature Review Schedule & Agenda', 'Documentation', 'Manganese-Search', 'Calendar Answer', 'SERP Grid and Layout', 'Meeting Notes', 'CLP V-Team Status', 'Substrate Partner Discussion with Teams_01_13_2020'], 'UserFileNameKeyPhrases': ['shiproom', 'cortana teams', 'msai', 'fy20', 'cortana in teams', 'voice skills', 'voice', 'deprecation', 'wave 1', 'q2', 'ai', 'skills test', 'israel', 'communication collaboration post', 'communication and collaboration', 'collaboration and communication', 'communication collaboration', 'deprecation plan cortana', 'collaboration post wave', 'communication and post']}	NegativeCrossDomainNoMatch
Present Cortana high level deck.	INMEETING	start_presenting	Present <deck_name>Cortana high level</deck_name> deck.	{'UserFileNames': ['H1 Features Test Plan', 'S+A OM focused Shiproom 01282020', 'AI+R Scorecard', 'Cortana UWP app - skill readiness', 'STCI MSAI Shiproom - Current', 'Error handling and polite refusals', 'Cortana transition announcement - DRAFT', 'FY21 Substrate Budget Planning', 'KWS Manual Testing', 'General', 'S+A Shiproom-TM-Latest', 'Jan2020Status', 'LegacySkill', 'CMCC Project', 'OneNote_DeletedPages', 'Cortana on Windows Vibranium International Plan', 'Outlook Mobile SERP Migration', 'Bing Answers test cases', 'S+A H2 Planning', '2019-01 CoralQual'], 'UserFileNameKeyPhrases': ['msai', 'perf', 'okrs', 'q3', 'cortana in teams', 'cortana teams', 'shiproom', 'q2 q3', 'rajesh', 'q2', 'substrate', 'voice skills manual', 'skills manual test', 'cortana on windows', 'knowledge mining', 'cortana windows', 'rajesh jan 2020', 'perf contracts', 'fy21 planning', 'voice manual']}	NegativeCrossDomainNoMatch
Go to slide motivation deck.	INMEETING	goto_slide	Go to slide <slide_name>motivation deck</slide_name>.	{'UserFileNames': ['Outlook Commute Working Session 2020_02_06', '02-06-2020 Calendar Answer on 3S - Full', 'Tasks Skill = Answer', "FY20 Q3 MSAI Assistant LT OKR's", 'S+A H2 Planning', 'Cortana transition announcement - DRAFT', 'Cortana_Assistance_RajeshMPR_Jan2020_Deck', 'Cortana UWP app - skill readiness', 'MM-DD-YYYY  Cortana - TTS Streaming - Full', '20H1 M365 Modern Workplace Scenarios', 'MSAI Cognition H2 OKRs', 'Cortana on Windows - Scorecard draft', 'Cortana on Windows Vibranium International Plan', 'Microsoft Search Feature Review Schedule & Agenda', 'QAS FY20 Q3 OKR', 'Search Answers Extensibility', 'ContextPOC', 'Deprecation Proposal - January 2020 - LT Review', 'Substrate Perf Shiproom - 2020-2-5', 'Engineering Update'], 'UserFileNameKeyPhrases': ['cortana teams', 'msai', 'cortana in teams', 'mtis', 'substrate', 'working session', '2019 action', 'private', 'action items', '202001 roleofaiineffectivemeetings', 'roleofaiineffectivemeetings', 'aiin effective meetings', 'working session role', 'running experiments', 'role aiin effective', 'session role aiin', 'role of effective', 'private endpoints', '2019 action items', 'substrate working']}	NegativeCrossDomainNoMatch
Move to slide hello.	INMEETING	goto_slide	Move to slide <slide_name>hello</slide_name>.	{'UserFileNames': ['1756920 - OOB ranking', 'Email Triage Science Update 2020.01.30', 'Logical Impression view and pipeline upgrades based on the v2 instrumentation contracts', 'XAP', 'M365 Search - 3S Instrumentation - Client Contracts', 'Cortana on Windows Vibranium International Plan', 'Monthly Suzhou team report', 'Weekly Whole Page and Answers Ship Meeting', 'Enteprise QF', '2073330 – Analytics Properties', 'POI to L2 Launch Plan', 'SDF2MSIT_Bugbash', 'Greenland 2.1 L1 DocData Features', 'Cortana UWP app - skill readiness', 'Outlook Search OKRs', 'IBv2 Default Segment', 'Group schedule', '3S Signal Enrichment', 'S+A H2 Planning', 'FY20 Q3 Email Triage'], 'UserFileNameKeyPhrases': ['shiproom', 'msai', 'fy20', 'perf', 'om focused shiproom', 'focused shiproom', 'om shiproom', 'om focused', 'substrate', 'omc', 'substrate perf shiproom', 'substrate shiproom', 'substrate perf', 'perf shiproom', 'fy20 q3', 'focused', 'feedback', 'emails', 'redirection service guide', 'substrate shiproom 2020']}	NegativeCrossDomainNoMatch
